Follower Athlete ID,Follow Status,Created At
190643,Accepted,"Nov 5, 2013, 7:52:57 AM"
1832745,Accepted,"Nov 26, 2013, 6:06:08 PM"
3300448,Accepted,"Mar 16, 2014, 4:44:30 PM"
2024256,Accepted,"Apr 7, 2014, 9:02:11 AM"
4333266,Accepted,"May 6, 2014, 6:44:38 PM"
2023649,Accepted,"Jan 6, 2015, 7:34:40 PM"
7578725,Accepted,"Jan 30, 2015, 9:02:47 AM"
2360278,Accepted,"Jun 3, 2015, 5:59:07 AM"
5435876,Accepted,"Mar 8, 2016, 3:38:42 PM"
2021308,Accepted,"Nov 25, 2016, 10:55:06 AM"
9190550,Accepted,"Dec 11, 2016, 9:33:01 PM"
10561060,Accepted,"Mar 20, 2017, 3:19:14 PM"
11111863,Accepted,"Dec 26, 2017, 6:07:43 PM"
15742330,Accepted,"Jan 16, 2018, 8:10:05 PM"
17063451,Accepted,"Jan 22, 2018, 6:27:51 PM"
16229697,Accepted,"Jan 24, 2018, 7:17:12 AM"
15953653,Accepted,"Jul 2, 2018, 10:32:14 PM"
18614453,Accepted,"Jul 3, 2018, 7:46:08 PM"
31911657,Accepted,"Oct 16, 2018, 12:36:07 PM"
30570588,Accepted,"Jun 18, 2019, 1:32:07 PM"
11546782,Accepted,"Aug 28, 2019, 3:07:40 PM"
20517406,Accepted,"Apr 4, 2020, 3:54:42 PM"
78966535,Accepted,"Jan 1, 2022, 12:00:56 PM"
94110052,Accepted,"Mar 23, 2022, 5:07:16 PM"
