Following Athlete ID,Follow Status,Created At
190643,Accepted,"Nov 5, 2013, 9:38:56 PM"
1832745,Accepted,"Nov 26, 2013, 4:21:57 PM"
3300448,Accepted,"Mar 16, 2014, 3:39:10 PM"
2024256,Accepted,"Mar 16, 2014, 3:41:15 PM"
4333266,Accepted,"May 6, 2014, 9:16:19 PM"
5435876,Accepted,"Jun 29, 2014, 4:19:19 PM"
2023649,Accepted,"Jan 6, 2015, 3:12:16 AM"
2360278,Accepted,"Jun 2, 2015, 9:53:55 PM"
2021308,Accepted,"Aug 24, 2016, 4:54:07 PM"
9190550,Accepted,"Dec 11, 2016, 10:02:05 PM"
10561060,Accepted,"Mar 17, 2017, 6:47:32 AM"
15742330,Accepted,"Jan 16, 2018, 7:37:41 AM"
17063451,Accepted,"Jan 22, 2018, 4:53:58 PM"
18614453,Accepted,"Jan 22, 2018, 4:57:11 PM"
16229697,Accepted,"Jan 24, 2018, 4:05:03 AM"
7578725,Accepted,"Jul 2, 2018, 10:29:39 PM"
11111863,Accepted,"Jul 3, 2018, 4:56:45 PM"
30570588,Accepted,"Apr 27, 2019, 1:39:41 PM"
11546782,Accepted,"Aug 28, 2019, 3:32:02 PM"
33199366,Accepted,"Mar 4, 2020, 10:26:43 PM"
20517406,Accepted,"Apr 4, 2020, 2:14:32 PM"
16566688,Accepted,"Jul 5, 2020, 7:46:31 AM"
31911657,Pending,"Jul 5, 2020, 11:11:17 PM"
2023615,Accepted,"Apr 4, 2021, 6:48:42 PM"
78966535,Accepted,"Jan 6, 2022, 5:08:49 PM"
94110052,Accepted,"Mar 24, 2022, 9:42:35 AM"
