Join Date,Name,Completed
"Nov 19, 2013, 1:59:34 AM",Pearl Izumi Fall Forty,true
"Nov 19, 2013, 2:04:34 AM",Find Your Way,true
"Nov 30, 2013, 5:18:17 PM",The Anchor,false
"Jan 10, 2014, 5:48:43 AM",Prove It - Ride,true
"Feb 5, 2014, 7:43:47 PM",February MTS,false
"Feb 11, 2014, 9:47:02 PM",Stravalentine's Day Challenge,false
"Mar 1, 2014, 12:49:46 PM",March MTS,false
"May 3, 2014, 4:40:23 PM",May MTS,false
"Jun 4, 2014, 2:18:09 PM",June MTS,false
"Sep 30, 2015, 3:00:02 PM",October MTS,true
"Sep 30, 2015, 3:00:51 PM",Strava Climbing Challenge,true
