Promotion Seen,Timestamp
FeedFollowOptionCoachmark,1592075425
NavigationTabHome,1620585952
NavigationTabMaps,1620586008
NavigationTabGroups,1621167116
NavigationTabYou,1620586000
NavigationTabYouProgress,1620585993
NavigationTabYouActivities,1631132564
NavigationTabYouProfile,1631132568
NavigationTabMapsSegments,1620585990
NavigationTabMapsRoutes,1630454347
NavigationHomeEducationCoachmarkImpression,1620585936
NavigationHomeEducationCoachmarkImpression,1620585981
NavigationHomeEducationCoachmarkImpression,1620589257
NavigationHomeEducationCoachmarkImpression,1621166990
NavigationHomeEducationCoachmarkImpression,1621774703
NavigationYouProgressEducationCoachmarkImpression,1620586001
NavigationYouProgressEducationCoachmarkImpression,1621774719
NavigationYouProgressEducationCoachmarkImpression,1626517388
NavigationYouProgressEducationCoachmarkImpression,1631132538
NavigationGroupsActiveEducationCoachmarkImpression,1621167116
NavigationTabEducationModalMapsJ2,1630454347
NavigationTabEducationModalGroupsJ2,1630454367
DistanceElevationNoticeDismissed,1628267928
RecordScreenBeaconCoachmark,1661131396
MapSettingsPersonalHeatmapCoachmark,1661131248
MapVisibilityFeedCoachmarkImpression,1663087336
MapVisibilityFeedCoachmarkImpression,1663087338
MapVisibilityFeedCoachmarkOrModalDismissed,1663087356
MapVisibilityRowReinforcementImpression,1663430083
MapVisibilityRowReinforcementImpression,1663430158
MapVisibilityRowReinforcementImpression,1663430192
MapVisibilityRowReinforcementImpression,1663430338
MapVisibilityRowReinforcementImpression,1663430362
MapVisibilityRowReinforcementImpression,1663434184
MapVisibilityActivityCoachmarkImpression,1639837186
MapVisibilityActivityCoachmarkImpression,1639837206
MapVisibilityActivityCoachmarkImpression,1640092310
MapVisibilityActivityCoachmarkImpression,1640092340
MapVisibilityActivityCoachmarkImpression,1640101773
MapVisibilityActivityCoachmarkDismissed,1640101775
RouteFromActivityMoreOptionsButtonCoachmark,1639837123
RouteFromActivitySaveButtonCoachmark,1661091978
MapVisibilitySettingCogCoachmark,1653130898
Map3dEducationVisibility,1661091977
WinbackNotificationSeen,1661077742
WinbackNotificationSeen,1665821855
WinbackNotificationSeen,1668250178
WinbackNotificationSeen,1669457676
MentionsSettingCogCoachmark,1659880759
MapsTabDirtFirstTimeExperienceFree,1659818381
OfflineMapsFirstTimeExperience,1659818381
VideoNotificationMonthlySoftLimit,1661006829
VideoNotificationMonthlySoftLimit,1665301167
VideoNotificationHardLimit,1661006829
VideoNotificationHardLimit,1665301167
FollowingFeedDoradoCooldown,1659818349
FollowingFeedDoradoCooldown,1659831930
FollowingFeedDoradoCooldown,1659879642
FollowingFeedDoradoCooldown,1660927970
FollowingFeedDoradoCooldown,1661091971
FollowingFeedDoradoCooldown,1661110104
FollowingFeedDoradoCooldown,1661130930
FollowModeCoachmark,1667850394
WebMediaUploaderFeatureEd,1668885721
WebMediaUploaderFeatureEd,1668969741
WebMediaUploaderFeatureEd,1669032656
WebMediaUploaderFeatureEd,1669235126
WebMediaUploaderFeatureEd,1669235209
WebMediaUploaderFeatureEd,1669235260
WebMediaUploaderFeatureEd,1669235373
WebMediaUploaderFeatureEd,1669332038
WebMediaUploaderFeatureEd,1669332284
WebMediaUploaderFeatureEd,1669403000
WebMediaUploaderFeatureEd,1669403235
WebMediaUploaderFeatureEd,1669465780
WebMediaUploaderFeatureEd,1669571200
WebMediaUploaderFeatureEd,1669571292
WebMediaUploaderFeatureEd,1669655928
WebMediaUploaderFeatureEd,1669744890
WebMediaUploaderFeatureEd,1669826601
WebMediaUploaderFeatureEd,1669923018
WebMediaUploaderFeatureEd,1670008092
WebMediaUploaderFeatureEd,1670088433
WebMediaUploaderFeatureEd,1670175717
WebMediaUploaderFeatureEd,1670265804
WebMediaUploaderFeatureEd2,1669241902
WebMediaUploaderFeatureEd2,1669267545
WebMediaUploaderFeatureEd2,1669267586
WebMediaUploaderFeatureEd2,1669267748
